,3,4,5,6,7
484,Arkansas St.,La.-Monroe,H,52.0,66.0
485,Arkansas St.,Little Rock,H,78.0,81.0
486,Arkansas St.,Louisiana,V,74.0,77.0
487,Arkansas St.,Ga. Southern,V,,
488,Army West Point,Villanova,V,54.0,97.0
489,Army West Point,Merchant Marine,H,80.0,43.0
490,Army West Point,Air Force,H,57.0,69.0
491,Army West Point,Fairleigh Dickinson,H,81.0,65.0
492,Army West Point,Binghamton,V,73.0,88.0
493,Army West Point,Marist,V,66.0,64.0
494,Army West Point,NJIT,H,75.0,65.0
495,Army West Point,LIU,H,72.0,85.0
496,Army West Point,Merrimack,V,60.0,69.0
497,Army West Point,Buffalo,V,89.0,76.0
498,Army West Point,Wagner,V,62.0,82.0
499,Army West Point,Bucknell,V,65.0,67.0
500,Army West Point,Colgate,H,65.0,70.0
501,Army West Point,American,H,60.0,68.0
502,Army West Point,Boston U.,V,59.0,81.0
503,Army West Point,Holy Cross,V,79.0,67.0
504,Army West Point,Loyola Maryland,H,81.0,80.0
505,Army West Point,Lafayette,V,94.0,74.0
506,Army West Point,Navy,V,73.0,66.0
507,Army West Point,Bucknell,H,68.0,59.0
508,Army West Point,Lehigh,V,80.0,79.0
509,Army West Point,Boston U.,H,66.0,80.0
510,Army West Point,American,V,62.0,72.0
511,Army West Point,Lafayette,H,65.0,48.0
512,Army West Point,Lehigh,H,79.0,66.0
513,Army West Point,Loyola Maryland,V,77.0,81.0
514,Army West Point,Navy,H,86.0,75.0
515,Army West Point,Holy Cross,H,67.0,61.0
516,Army West Point,Colgate,V,,
517,Auburn,Ga. Southern,H,83.0,74.0
518,Auburn,Davidson,N,76.0,66.0
519,Auburn,South Alabama,V,70.0,69.0
520,Auburn,CSUN,H,116.0,70.0
521,Auburn,Colgate,H,91.0,62.0
522,Auburn,New Mexico,N,84.0,59.0
523,Auburn,Richmond,N,79.0,65.0
524,Auburn,Furman,H,81.0,78.0
525,Auburn,Saint Louis,N,67.0,61.0
526,Auburn,NC State,H,79.0,73.0
527,Auburn,Lehigh,H,74.0,51.0
528,Auburn,Lipscomb,H,86.0,59.0
529,Auburn,Mississippi St.,V,80.0,68.0
530,Auburn,Vanderbilt,H,83.0,79.0
531,Auburn,Georgia,H,82.0,60.0
532,Auburn,Alabama,V,64.0,83.0
533,Auburn,Florida,V,47.0,69.0
534,Auburn,South Carolina,H,80.0,67.0
535,Auburn,Iowa St.,H,80.0,76.0
536,Auburn,Ole Miss,V,83.0,82.0
537,Auburn,Kentucky,H,75.0,66.0
538,Auburn,Arkansas,V,79.0,76.0
539,Auburn,LSU,H,91.0,90.0
540,Auburn,Alabama,H,95.0,91.0
541,Auburn,Missouri,V,73.0,85.0
542,Auburn,Georgia,V,55.0,65.0
543,Auburn,Tennessee,H,73.0,66.0
544,Auburn,Ole Miss,H,67.0,58.0
545,Auburn,Kentucky,V,,
546,Auburn,Texas A&M,H,,
547,Auburn,Tennessee,V,,
548,Austin Peay,Oakland City,H,110.0,67.0
549,Austin Peay,Western Ky.,V,75.0,97.0
550,Austin Peay,Tulsa,V,65.0,72.0
551,Austin Peay,Vanderbilt,V,72.0,90.0
552,Austin Peay,Southeastern La.,H,81.0,60.0
553,Austin Peay,South Carolina St.,H,92.0,66.0
554,Austin Peay,Arkansas,V,61.0,69.0
555,Austin Peay,North Florida,H,90.0,83.0
556,Austin Peay,West Virginia,V,53.0,84.0
557,Austin Peay,McKendree,H,80.0,61.0
558,Austin Peay,Duquesne,N,77.0,86.0
559,Austin Peay,Alabama St.,N,80.0,69.0
560,Austin Peay,Georgia,V,48.0,78.0
561,Austin Peay,Southeast Mo. St.,H,78.0,63.0
562,Austin Peay,UT Martin,H,82.0,63.0
563,Austin Peay,Tennessee Tech,V,75.0,62.0
564,Austin Peay,Jacksonville St.,V,71.0,67.0
