,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
96,Florida International,28,17,11,.607,0.20,-1.40,8,7,11,2,5,8,2145,2024,,74.3,102.7,.300,.423,.548,47.4,52.3,12.0,15.9,.529,18.1,29.0,.194
97,Florida State,28,24,4,.857,17.54,7.54,14,3,15,0,6,4,2114,1834,,69.5,107.6,.301,.355,.556,51.8,49.1,12.7,16.4,.521,16.5,33.7,.229
98,Florida,28,18,10,.643,14.93,8.75,10,5,11,3,3,6,2032,1859,,67.1,107.2,.345,.369,.553,52.6,45.7,8.7,11.4,.519,15.5,31.1,.250
99,Fordham,27,7,20,.259,-4.21,0.23,1,14,6,11,0,7,1551,1671,,64.7,87.5,.272,.425,.471,46.5,56.5,10.8,9.1,.446,17.1,21.8,.172
100,Fresno State,28,10,18,.357,2.26,3.70,6,11,6,7,4,10,1942,1936,,65.3,103.9,.303,.485,.529,52.0,51.7,7.6,11.0,.500,16.3,31.2,.212
101,Furman,30,24,6,.800,7.28,-1.13,14,3,13,1,10,5,2307,1988,,69.2,110.2,.303,.460,.581,48.0,54.2,11.7,8.3,.559,14.9,23.9,.211
102,Gardner-Webb,29,14,15,.483,-5.96,-6.04,10,7,7,5,5,10,2110,2070,,67.6,104.5,.352,.390,.547,49.4,55.5,9.2,14.0,.516,15.9,27.8,.245
103,George Mason,28,15,13,.536,1.10,1.67,4,11,10,6,2,7,1871,1887,,67.2,98.9,.332,.342,.508,51.8,45.3,9.0,13.0,.471,16.9,32.9,.233
104,George Washington,28,12,16,.429,-2.39,0.36,6,9,7,8,3,7,1880,1957,,66.8,98.7,.334,.420,.530,48.4,52.1,7.9,10.6,.496,16.8,23.7,.237
105,Georgetown,28,15,13,.536,11.05,9.01,5,10,10,6,4,6,2119,2062,,71.7,105.5,.354,.296,.538,52.5,56.5,8.7,11.5,.491,15.9,32.7,.275
106,Georgia Southern,29,17,12,.586,0.98,-0.87,11,7,10,3,6,8,2177,2043,,73.0,102.8,.354,.416,.533,48.0,46.3,10.8,10.4,.503,15.2,26.2,.240
107,Georgia State,29,18,11,.621,3.69,0.06,11,7,11,1,6,10,2278,2081,,73.9,105.5,.311,.379,.545,50.2,52.7,10.6,11.7,.512,16.5,32.4,.228
108,Georgia Tech,28,14,14,.500,9.92,9.40,8,9,8,6,5,7,1925,1883,,70.8,96.3,.339,.301,.528,51.2,54.4,9.6,11.5,.500,19.7,28.5,.226
109,Georgia,28,14,14,.500,8.08,7.23,4,11,11,4,3,8,2130,2104,,72.3,103.3,.341,.388,.538,51.4,49.9,10.1,8.4,.505,17.6,32.7,.239
110,Gonzaga,30,28,2,.933,22.88,2.42,14,1,16,0,10,1,2634,2020,,73.0,119.7,.387,.320,.597,56.4,53.9,10.5,9.7,.575,13.4,33.6,.265
111,Grambling,27,14,13,.519,-12.41,-7.84,8,6,9,2,5,10,1950,1890,,71.9,100.4,.367,.276,.531,52.2,49.7,9.8,11.4,.499,17.2,30.5,.250
112,Grand Canyon,28,12,16,.429,-6.01,-3.75,7,7,7,7,4,6,1972,2042,,67.9,102.9,.377,.326,.545,48.1,48.3,7.3,3.6,.502,15.0,23.0,.281
113,Green Bay,30,15,15,.500,-5.32,-2.72,10,7,8,5,7,10,2473,2433,,75.5,107.8,.313,.331,.559,48.3,55.7,9.3,8.2,.524,14.6,26.7,.236
114,Hampton,30,13,17,.433,-13.23,-5.56,8,9,11,4,2,13,2324,2396,,72.0,106.7,.412,.303,.541,49.8,53.9,7.3,10.2,.502,14.3,29.9,.289
115,Hartford,30,16,14,.533,-7.08,-5.72,9,6,8,7,8,7,1983,1999,,69.3,95.0,.309,.398,.513,47.0,54.5,10.6,6.7,.482,17.1,22.3,.214
116,Harvard,25,18,7,.720,3.20,-1.26,7,3,10,0,7,4,1832,1668,,68.9,104.2,.313,.379,.547,53.6,45.0,9.3,14.3,.521,17.2,30.4,.215
117,Hawaii,27,16,11,.593,-0.66,-1.89,7,6,14,5,2,6,1865,1816,,69.2,99.4,.322,.384,.524,50.7,56.2,7.7,5.2,.491,16.8,28.0,.226
118,High Point,30,9,21,.300,-16.29,-5.18,6,11,6,9,3,12,1975,2243,,67.6,96.6,.409,.357,.507,51.1,56.1,7.6,11.7,.460,17.9,31.6,.289
119,Hofstra,30,22,8,.733,2.20,-3.69,13,4,9,4,11,4,2293,2080,,69.7,109.7,.340,.370,.559,50.3,46.7,10.0,5.5,.516,14.4,29.9,.266
120,Holy Cross,30,3,27,.100,-17.25,-4.08,2,15,2,11,0,15,1997,2382,,68.7,95.7,.245,.378,.517,47.4,46.7,7.0,6.9,.495,17.7,25.0,.165
121,Houston Baptist,26,3,23,.115,-17.55,-2.70,3,14,2,8,1,14,2077,2463,,78.3,101.6,.389,.335,.543,49.2,46.1,6.9,5.2,.500,18.7,32.0,.287
122,Houston,28,21,7,.750,16.36,5.61,11,4,12,2,6,5,2038,1737,,66.8,108.5,.339,.347,.527,56.6,51.7,7.4,15.0,.489,14.9,38.4,.248
123,Howard,28,2,26,.071,-21.48,-6.52,0,13,1,12,1,13,1950,2284,,71.9,95.6,.315,.370,.514,44.7,53.7,8.2,8.3,.483,17.9,26.8,.215
124,Idaho State,26,6,20,.231,-8.37,-0.92,3,14,4,9,2,11,1798,1886,,67.7,100.7,.356,.341,.537,51.1,47.1,6.9,5.9,.512,18.0,29.8,.232
125,Idaho,28,7,21,.250,-11.67,-1.79,3,14,4,9,2,11,1818,2019,,69.7,92.8,.306,.254,.509,49.7,49.4,8.1,6.2,.480,18.4,24.0,.207
126,Illinois-Chicago,30,15,15,.500,-5.18,-3.66,10,7,9,6,5,9,2051,2092,,70.2,97.0,.295,.388,.534,50.3,58.3,7.8,11.1,.507,19.9,27.1,.204
127,Illinois State,29,9,20,.310,-2.75,2.28,4,13,9,6,0,11,1914,2036,,68.2,96.3,.251,.410,.523,48.6,50.9,8.3,7.4,.497,18.4,26.0,.177
128,Illinois,28,19,9,.679,15.28,9.06,11,6,13,3,6,5,2031,1811,,67.9,106.3,.334,.305,.527,56.2,50.7,7.0,7.0,.489,15.3,36.6,.244
129,Incarnate Word,28,9,19,.321,-18.73,-6.53,6,11,7,7,2,12,1836,2055,,69.2,93.5,.311,.353,.506,47.6,53.2,10.4,6.7,.468,19.2,28.7,.224
130,Indiana State,28,17,11,.607,3.67,1.63,10,7,11,1,4,8,1930,1868,,66.2,103.7,.338,.339,.553,49.7,51.5,8.3,10.4,.520,15.5,23.8,.242
131,Indiana,28,18,10,.643,14.65,10.15,8,9,14,3,2,7,2003,1877,,68.8,103.5,.414,.298,.529,54.1,50.6,8.2,12.7,.491,16.2,33.0,.282
132,Iona,24,11,13,.458,-5.97,-5.14,9,8,5,5,4,7,1682,1702,,68.6,101.0,.320,.433,.551,48.7,55.5,10.3,10.5,.514,18.1,25.4,.243
133,Iowa State,28,12,16,.429,10.00,9.86,5,10,11,5,0,9,2038,2034,,70.6,102.6,.282,.375,.534,48.6,54.9,10.7,11.8,.502,15.9,28.7,.208
134,Iowa,28,19,9,.679,16.38,10.27,10,7,13,1,4,6,2189,2018,,70.8,110.4,.348,.376,.555,51.8,62.7,9.1,10.1,.518,14.7,32.2,.257
135,Purdue-Fort Wayne,30,13,17,.433,-8.03,-3.59,6,9,10,5,3,12,2062,2101,,69.5,98.9,.257,.441,.524,51.4,49.7,10.5,8.0,.502,17.7,28.6,.173
136,IUPUI,30,7,23,.233,-14.39,-3.35,3,14,4,8,3,13,2109,2381,,71.7,97.2,.318,.386,.504,47.8,53.8,9.0,6.5,.478,16.6,29.3,.203
137,Jackson State,27,10,17,.370,-11.78,-6.26,7,7,6,3,4,14,1796,1869,,71.1,93.5,.334,.300,.489,46.7,47.6,11.3,10.7,.452,15.9,25.8,.229
138,Jacksonville State,30,12,18,.400,-8.18,-6.18,7,10,7,6,4,11,2158,2080,,70.3,101.9,.281,.368,.533,52.7,51.9,9.0,7.2,.508,17.4,31.1,.191
139,Jacksonville,30,13,17,.433,-6.35,-5.49,6,9,6,7,6,8,1998,1990,,67.7,97.2,.306,.357,.513,52.2,45.0,7.3,7.6,.485,17.6,28.5,.207
140,James Madison,28,9,19,.321,-8.91,-2.65,2,15,6,9,3,10,2015,2136,,72.7,99.0,.368,.406,.510,49.4,49.4,8.8,8.3,.479,15.1,26.1,.240
