,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals,Opponent Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
67,Connecticut,28,16,12,.571,10.62,5.30,7,8,13,3,1,7,2017,1868,,1160,653,1578,.414,157,472,.333,405,552,.734,289,991,331,202,115,445,529
68,Coppin State,29,9,20,.310,-14.41,-7.55,5,9,5,5,4,15,1974,2173,,1170,769,1820,.423,253,746,.339,382,558,.685,324,1203,438,192,75,414,482
69,Cornell,23,6,17,.261,-8.28,-2.04,3,7,6,4,0,13,1541,1603,,935,584,1320,.442,167,499,.335,268,386,.694,236,825,313,133,87,288,362
70,Creighton,28,22,6,.786,17.43,9.39,11,4,15,1,6,4,2189,1935,,1125,726,1747,.416,202,672,.301,281,394,.713,315,1034,362,135,91,353,464
71,Dartmouth,25,10,15,.400,-4.53,-3.07,3,7,6,4,3,10,1617,1603,,1010,581,1386,.419,199,608,.327,242,391,.619,187,838,299,147,62,300,393
72,Davidson,27,15,12,.556,9.42,2.79,9,6,10,1,4,7,1977,1798,,1110,633,1505,.421,180,555,.324,352,496,.710,226,884,316,141,79,310,458
73,Dayton,28,26,2,.929,18.46,3.71,15,0,15,0,8,0,2238,1825,,1135,666,1609,.414,171,522,.328,322,493,.653,284,899,313,155,77,370,506
74,Delaware State,27,3,24,.111,-22.10,-7.94,2,11,3,10,0,13,1950,2269,,1090,770,1627,.473,230,649,.354,499,704,.709,294,1086,425,229,91,394,496
75,Delaware,30,20,10,.667,-1.72,-3.75,10,7,10,3,6,6,2230,2125,,1205,752,1757,.428,236,686,.344,385,510,.755,279,991,382,198,76,347,495
76,Denver,29,6,23,.207,-10.58,-1.79,2,13,5,8,0,14,1997,2226,,1170,755,1668,.453,231,725,.319,485,642,.755,251,1042,371,185,77,373,557
77,DePaul,28,14,14,.500,8.57,8.20,2,13,10,7,4,7,2025,1986,,1130,663,1607,.413,230,675,.341,430,584,.736,301,1023,390,219,105,460,507
78,Detroit Mercy,30,7,23,.233,-9.88,-1.58,5,12,5,8,1,14,2085,2334,,1205,828,1809,.458,260,714,.364,418,579,.722,322,1111,519,190,106,365,542
79,Drake,30,18,12,.600,-0.17,-0.17,8,9,14,1,2,10,2098,2035,,1205,703,1659,.424,254,680,.374,375,503,.746,218,947,348,201,78,380,487
80,Drexel,30,13,17,.433,-5.20,-2.23,6,11,10,5,1,12,2079,2132,,1205,786,1742,.451,163,521,.313,397,527,.753,271,980,352,230,97,340,533
81,Duke,28,23,5,.821,22.83,7.79,13,4,13,2,7,3,2331,1910,,1140,708,1698,.417,138,458,.301,356,531,.670,294,964,337,208,104,429,530
82,Duquesne,27,19,8,.704,6.97,1.12,9,6,9,3,5,3,1923,1765,,1090,647,1547,.418,175,573,.305,296,447,.662,280,927,339,165,78,366,463
83,East Carolina,29,11,18,.379,-1.07,1.48,5,11,9,6,1,10,1986,2060,,1170,698,1646,.424,229,695,.329,435,661,.658,267,1008,387,200,92,391,551
84,East Tennessee State,30,26,4,.867,7.21,-1.79,15,2,15,1,11,3,2286,1889,,1200,677,1595,.424,179,597,.300,356,505,.705,257,923,309,178,91,470,583
85,Eastern Illinois,29,15,14,.517,-5.28,-7.39,8,9,10,2,4,11,2175,2025,,1170,708,1674,.423,199,567,.351,410,561,.731,293,1038,353,173,87,443,495
