,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
79,Drake,30,18,12,.600,-0.17,-0.17,8,9,14,1,2,10,2098,2035,,68.3,98.9,.303,.410,.536,48.4,49.5,9.8,7.6,.500,16.7,21.8,.226
80,Drexel,30,13,17,.433,-5.20,-2.23,6,11,10,5,1,12,2079,2132,,68.4,103.4,.303,.299,.535,48.0,44.8,11.2,9.1,.498,14.6,26.7,.228
81,Duke,28,23,5,.821,22.83,7.79,13,4,13,2,7,3,2331,1910,,73.4,91.3,.313,.270,.490,46.1,47.6,9.9,8.5,.458,18.0,27.6,.210
82,Duquesne,27,19,8,.704,6.97,1.12,9,6,9,3,5,3,1923,1765,,67.6,95.8,.289,.370,.502,49.7,52.4,9.0,8.9,.475,17.2,29.5,.191
83,East Carolina,29,11,18,.379,-1.07,1.48,5,11,9,6,1,10,1986,2060,,70.8,99.5,.402,.422,.526,49.3,55.4,9.7,8.4,.494,16.6,26.0,.264
84,East Tennessee State,30,26,4,.867,7.21,-1.79,15,2,15,1,11,3,2286,1889,,68.1,92.4,.317,.374,.515,46.2,45.6,8.7,8.6,.481,20.4,25.8,.223
85,Eastern Illinois,29,15,14,.517,-5.28,-7.39,8,9,10,2,4,11,2175,2025,,71.2,97.2,.335,.339,.522,49.2,49.9,8.3,7.2,.482,18.6,28.0,.245
86,Eastern Kentucky,30,14,16,.467,-9.79,-4.43,11,6,9,4,5,10,2276,2304,,76.6,100.3,.366,.348,.551,54.8,55.1,9.2,8.7,.513,20.8,33.5,.267
87,Eastern Michigan,28,15,13,.536,-1.68,1.24,5,10,10,4,3,9,1824,1752,,67.8,92.2,.285,.482,.513,50.7,63.2,9.8,7.9,.490,22.0,30.1,.186
88,Eastern Washington,28,20,8,.714,1.43,-1.46,13,4,11,2,9,6,2263,2049,,74.8,96.9,.328,.325,.519,49.1,56.5,9.9,8.9,.481,17.3,26.4,.236
89,Elon,30,11,19,.367,-8.07,-1.74,7,10,8,8,3,11,2067,2160,,67.7,105.9,.408,.415,.559,51.5,53.1,9.0,10.3,.514,15.6,24.5,.306
90,Evansville,30,9,21,.300,-6.97,0.72,0,17,5,9,3,10,2034,2239,,67.8,107.3,.331,.294,.561,53.2,41.4,7.8,7.7,.526,14.9,25.9,.247
91,Fairfield,27,11,16,.407,-8.68,-4.49,7,9,5,6,5,8,1594,1707,,63.8,97.3,.297,.367,.520,47.9,51.1,9.2,8.3,.487,16.9,25.4,.211
92,Fairleigh Dickinson,28,10,18,.357,-10.20,-5.65,8,9,7,5,3,13,2012,2086,,69.0,107.1,.309,.406,.546,52.2,56.5,9.4,8.2,.518,15.8,32.4,.216
93,Florida A&M,26,12,14,.462,-12.07,-5.99,10,5,8,0,4,12,1754,1912,,70.8,101.9,.412,.357,.550,51.4,49.3,10.4,8.2,.517,18.9,31.5,.281
94,Florida Atlantic,29,16,13,.552,-1.55,-1.36,8,8,14,3,2,10,2047,1987,,70.4,96.6,.281,.384,.526,48.5,45.3,9.6,6.3,.499,18.7,25.1,.195
95,Florida Gulf Coast,30,10,20,.333,-10.17,-4.14,7,8,6,9,4,11,1843,1976,,66.9,97.7,.304,.382,.514,50.3,49.8,11.2,9.1,.484,17.6,29.2,.210
96,Florida International,28,17,11,.607,0.20,-1.40,8,7,11,2,5,8,2145,2024,,74.3,96.9,.297,.352,.503,52.6,48.9,10.5,8.3,.466,18.6,35.2,.215
97,Florida State,28,24,4,.857,17.54,7.54,14,3,15,0,6,4,2114,1834,,69.5,93.3,.347,.391,.511,48.2,44.1,7.7,7.5,.467,20.8,30.5,.257
98,Florida,28,18,10,.643,14.93,8.75,10,5,11,3,3,6,2032,1859,,67.1,98.0,.346,.364,.516,47.4,48.1,8.4,6.7,.474,16.9,27.0,.254
99,Fordham,27,7,20,.259,-4.21,0.23,1,14,6,11,0,7,1551,1671,,64.7,94.3,.318,.461,.508,53.5,61.8,10.4,8.1,.475,18.6,27.5,.218
100,Fresno State,28,10,18,.357,2.26,3.70,6,11,6,7,4,10,1942,1936,,65.3,103.5,.293,.407,.526,48.0,51.6,8.5,8.2,.489,13.8,26.9,.221
101,Furman,30,24,6,.800,7.28,-1.13,14,3,13,1,10,5,2307,1988,,69.2,95.0,.246,.414,.525,52.0,54.8,9.1,8.6,.499,20.3,28.5,.177
102,Gardner-Webb,29,14,15,.483,-5.96,-6.04,10,7,7,5,5,10,2110,2070,,67.6,102.5,.309,.425,.526,50.6,57.7,8.9,8.1,.492,15.9,30.1,.221
103,George Mason,28,15,13,.536,1.10,1.67,4,11,10,6,2,7,1871,1887,,67.2,99.8,.292,.381,.518,48.2,49.9,9.6,9.6,.491,16.6,28.8,.198
104,George Washington,28,12,16,.429,-2.39,0.36,6,9,7,8,3,7,1880,1957,,66.8,102.7,.309,.299,.521,51.6,44.3,10.1,11.6,.492,13.9,27.9,.211
